interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_close_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_close_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_close_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_close_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_index_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_index_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_index_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_index_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_index_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_index_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_trade_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_trade_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_trade_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_trade_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_trade_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_trade_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_trade_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_trade_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_trade_basis_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_trade_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_trade_basis_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_trade_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,basis_abs_168h,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_basis_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,basis_abs_168h,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_basis_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,basis_abs_168h,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_basis_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,basis_abs_168h,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_basis_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,basis_abs_168h,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_basis_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,basis_abs_168h,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_basis_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_abs_168h,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_abs_168h,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_abs_168h,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_abs_168h,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_abs_168h,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_abs_168h,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_last,open_interest,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_last_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_last,open_interest,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_last_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_last,open_interest,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_last_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_last,open_interest,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_last_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_last,open_interest,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_last_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_last,open_interest,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_last_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_value_last,open_interest,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_value_last_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_value_last,open_interest,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_value_last_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_value_last,open_interest,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_value_last_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_value_last,open_interest,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_value_last_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_value_last,open_interest,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_value_last_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_value_last,open_interest,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_value_last_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_change_24h,open_interest,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_change_24h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_change_24h,open_interest,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_change_24h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_change_24h,open_interest,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_change_24h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_change_24h,open_interest,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_change_24h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_change_24h,open_interest,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_open_interest_change_24h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,open_interest_change_24h,open_interest,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_open_interest_change_24h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_close_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_premium_close_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_close_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_premium_close_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_close_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_premium_close_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_close_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_premium_close_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_close_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_premium_close_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_close_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_premium_close_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_index_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_mark_index_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_index_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_mark_index_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_mark_index_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_index_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_mark_index_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_index_basis_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_mark_index_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_index_basis_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_mark_index_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_trade_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_mark_trade_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_trade_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_mark_trade_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_trade_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_mark_trade_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_trade_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_mark_trade_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_trade_basis_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_mark_trade_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,mark_trade_basis_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_mark_trade_basis_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,basis_abs_168h,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_basis_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,basis_abs_168h,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_basis_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,basis_abs_168h,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_basis_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,basis_abs_168h,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_basis_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,basis_abs_168h,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_basis_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,basis_abs_168h,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_basis_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_abs_168h,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_premium_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_abs_168h,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_premium_abs_168h_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_abs_168h,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_premium_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_abs_168h,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_premium_abs_168h_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_abs_168h,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_premium_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,premium_abs_168h,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_premium_abs_168h_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,open_interest_last,open_interest,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_open_interest_last_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,open_interest_last,open_interest,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_open_interest_last_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,open_interest_last,open_interest,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_open_interest_last_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,open_interest_last,open_interest,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_SafeDiv_open_interest_last_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_168h,volatility,open_interest_last,open_interest,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_168h_Mul_open_interest_last_spread_short_long
